id;title;description;status;created_date;updated_date
1;stylish arraign;../fake-data/blob/hipster.txt;OPEN;2025-05-20T07:00:01;2025-05-19T19:41:18
2;minus;../fake-data/blob/hipster.txt;OPEN;2025-05-20T08:59:44;2025-05-20T02:58:27
3;fooey;../fake-data/blob/hipster.txt;IN_PROGRESS;2025-05-20T12:51:29;2025-05-20T06:54:13
4;viciously free capsize;../fake-data/blob/hipster.txt;CLOSED;2025-05-20T01:44:10;2025-05-19T17:12:49
5;weight maintainer;../fake-data/blob/hipster.txt;RESOLVED;2025-05-20T03:22:37;2025-05-20T07:23:09
6;unlike;../fake-data/blob/hipster.txt;IN_PROGRESS;2025-05-20T09:33:03;2025-05-19T17:38:52
7;jittery around;../fake-data/blob/hipster.txt;CLOSED;2025-05-20T12:42:05;2025-05-19T21:29:17
8;keenly;../fake-data/blob/hipster.txt;OPEN;2025-05-19T18:38:47;2025-05-20T09:01:55
9;ruin;../fake-data/blob/hipster.txt;OPEN;2025-05-20T15:18:09;2025-05-19T20:53:08
10;brown follower;../fake-data/blob/hipster.txt;OPEN;2025-05-19T21:15:37;2025-05-20T07:24:33
